Ticker,Side,Quantity,LimitPrice,MarketPrice,FillProb,FillRateExp,ExpR,Priority,TTL_Min,SlipBps,SlipPct,Signal,LimitLock,Notes
ANV,SELL,600,30.50,30.85,0.9,1.0,0.79,1.101,9,45.4,0.0045,TP,,
TCB,SELL,1400,38.65,38.35,0.715,1.0,0.79,0.84,9,29.6,0.003,TP,,
VIC,SELL,100,180.60,176.50,0.573,1.0,0.79,0.642,9,79.4,0.0079,TP,,
GMD,SELL,100,66.50,65.90,0.752,1.0,0.79,0.599,9,36.5,0.0037,TRIM,,
REE,SELL,1800,63.80,64.50,0.9,1.0,0.79,0.482,3,29.1,0.0029,EXIT,,
PNJ,SELL,800,82.30,83.00,0.9,1.0,0.79,0.465,3,26.5,0.0026,EXIT,,
MBB,SELL,1000,27.10,26.55,0.442,1.0,0.79,0.447,9,36.3,0.0036,TP,,
HPG,SELL,5000,27.85,27.65,0.773,1.0,0.79,0.438,9,31.5,0.0031,TRIM,,
MSN,SELL,100,80.60,80.00,0.756,1.0,0.79,0.413,9,32.4,0.0032,TRIM,,
PVT,SELL,1800,18.75,17.75,0.103,1.0,0.79,0.039,9,44.9,0.0045,TRIM,,
IMP,SELL,200,54.90,52.50,0.088,1.0,0.79,0.032,9,44.2,0.0044,TRIM,,
